date,channel,title,description,product,target,image_prompt
2025-10-03,Podcast,Dermacomplex,"Скрипт выпуска: DERMACOMPLEX
1) Зачем: здоровая кожа, волосы и ногти изнутри
2) Что внутри: Антиоксиданты уменьшают воспаления, биотин и цинк укрепляют волосы и ногти, пробиотики поддерживают чистую кожу.
3) Для кого: дети 4+, взрослые, при проблемах кожи/волос/ногтей
4) Советы по приёму: детям 4–8 лет — 1/2 капсулы (растворить), 8+ — 1 капсула, взрослым — 1–2 капсулы в день
Завершение: Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact.",DERMACOMPLEX,"Для детей с 4 лет и взрослых, ☑ Детям 4-8 лет: вскрыть капсулу, растворить порошок в воде.","An elegant, modern illustration representing DERMACOMPLEX: Здоровье и красота кожи, волос и ногтей. Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-10-06,Instagram,Ophtalmocomplex,"OPHTALMOCOMPLEX: поддержка зрения и защита сетчатки
Лютеин/зеаксантин — защита макулы; витамины A/E/C — восстановление; Омега-3 и витамины группы B — поддержка зрительного нерва.
Как принимать: детям 7+ — 1 капсула в день, взрослым — 2 капсулы в день
Немецкое качество. Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact. #Biotact #здоровье",OPHTALMOCOMPLEX,"Для детей с 4 лет и взрослых, ☑ Детям 4-8 лет: вскрыть капсулу, растворить порошок в воде.","An elegant, modern illustration representing DERMACOMPLEX: Здоровье и красота кожи, волос и ногтей. Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-10-09,Blog,Immunocomplex,"IMMUNOCOMPLEX: подробный разбор
ежедневная поддержка иммунитета для всей семьи

Преимущества:
- Ежедневная поддержка
- Антиоксиданты
- Удобные капсулы

Кому подходит: дети и взрослые в сезон простуд/повышенных нагрузок
Как принимать: обычно 1–2 капсулы в день (по рекомендации специалиста)
Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact.",IMMUNOCOMPLEX,"Для детей с 4 лет и взрослых, ☑ Детям 4-8 лет: вскрыть капсулу, растворить порошок в воде.","An elegant, modern illustration representing DERMACOMPLEX: Здоровье и красота кожи, волос и ногтей. Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-10-12,Podcast,Dermacomplex,"Скрипт выпуска: DERMACOMPLEX
1) Зачем: здоровая кожа, волосы и ногти изнутри
2) Что внутри: Антиоксиданты уменьшают воспаления, биотин и цинк укрепляют волосы и ногти, пробиотики поддерживают чистую кожу.
3) Для кого: дети 4+, взрослые, при проблемах кожи/волос/ногтей
4) Советы по приёму: детям 4–8 лет — 1/2 капсулы (растворить), 8+ — 1 капсула, взрослым — 1–2 капсулы в день
Завершение: Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact.",DERMACOMPLEX,"Для детей с 4 лет и взрослых, ☑ Детям 4-8 лет: вскрыть капсулу, растворить порошок в воде.","An elegant, modern illustration representing DERMACOMPLEX: Здоровье и красота кожи, волос и ногтей. Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-10-15,Telegram,Ophtalmocomplex,"OPHTALMOCOMPLEX — коротко:
Лютеин/зеаксантин — защита макулы; витамины A/E/C — восстановление; Омега-3 и витамины группы B — поддержка зрительного нерва.
Кому полезно: много экранного времени, сухость/утомление глаз, профилактика возрастных изменений
Подробнее скоро в канале. Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact.",OPHTALMOCOMPLEX,"Для детей с 4 лет и взрослых, ☑ Детям 4-8 лет: вскрыть капсулу, растворить порошок в воде.","An elegant, modern illustration representing DERMACOMPLEX: Здоровье и красота кожи, волос и ногтей. Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-10-18,YouTube,Immunocomplex,"[LLM placeholder] Real model responses would appear here.
This placeholder acknowledges that the prototype environment does not provide a live LLM.

Prompt excerpt:
Вы маркетолог компании Biotact. Создайте развёрнутый текст для канала YouTube о продукте DERMACOMPLEX на 18 October 2025. Включите факты о бренде, информацию из списка преимуществ и призыв к действию.",IMMUNOCOMPLEX,"Для детей с 4 лет и взрослых, ☑ Детям 4-8 лет: вскрыть капсулу, растворить порошок в воде.","An elegant, modern illustration representing DERMACOMPLEX: Здоровье и красота кожи, волос и ногтей. Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-10-21,YouTube,Dermacomplex,"[LLM placeholder] Real model responses would appear here.
This placeholder acknowledges that the prototype environment does not provide a live LLM.

Prompt excerpt:
Вы маркетолог компании Biotact. Создайте развёрнутый текст для канала YouTube о продукте DERMACOMPLEX на 21 October 2025. Включите факты о бренде, информацию из списка преимуществ и призыв к действию.",DERMACOMPLEX,"Для детей с 4 лет и взрослых, ☑ Детям 4-8 лет: вскрыть капсулу, растворить порошок в воде.","An elegant, modern illustration representing DERMACOMPLEX: Здоровье и красота кожи, волос и ногтей. Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-10-24,Podcast,Ophtalmocomplex,"Скрипт выпуска: OPHTALMOCOMPLEX
1) Зачем: поддержка зрения и защита сетчатки
2) Что внутри: Лютеин/зеаксантин — защита макулы; витамины A/E/C — восстановление; Омега-3 и витамины группы B — поддержка зрительного нерва.
3) Для кого: много экранного времени, сухость/утомление глаз, профилактика возрастных изменений
4) Советы по приёму: детям 7+ — 1 капсула в день, взрослым — 2 капсулы в день
Завершение: Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact.",OPHTALMOCOMPLEX,"Для детей с 4 лет и взрослых, ☑ Детям 4-8 лет: вскрыть капсулу, растворить порошок в воде.","An elegant, modern illustration representing DERMACOMPLEX: Здоровье и красота кожи, волос и ногтей. Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-10-27,Instagram,Immunocomplex,"IMMUNOCOMPLEX: ежедневная поддержка иммунитета для всей семьи
Сбалансированные витамины и минералы с антиоксидантами помогают защите в сезон нагрузок.
Как принимать: обычно 1–2 капсулы в день (по рекомендации специалиста)
Немецкое качество. Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact. #Biotact #здоровье",IMMUNOCOMPLEX,"Для детей с 4 лет и взрослых, ☑ Детям 4-8 лет: вскрыть капсулу, растворить порошок в воде.","An elegant, modern illustration representing DERMACOMPLEX: Здоровье и красота кожи, волос и ногтей. Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-10-30,Blog,Dermacomplex,"DERMACOMPLEX: подробный разбор
здоровая кожа, волосы и ногти изнутри

Преимущества:
- Антиоксиданты против воспалений
- Биотин и цинк для волос и ногтей
- Пробиотики — поддержка кожи изнутри

Кому подходит: дети 4+, взрослые, при проблемах кожи/волос/ногтей
Как принимать: детям 4–8 лет — 1/2 капсулы (растворить), 8+ — 1 капсула, взрослым — 1–2 капсулы в день
Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact.",DERMACOMPLEX,"Для детей с 4 лет и взрослых, ☑ Детям 4-8 лет: вскрыть капсулу, растворить порошок в воде.","An elegant, modern illustration representing DERMACOMPLEX: Здоровье и красота кожи, волос и ногтей. Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
